"district","division","candidate","party","votes_count","votes_percentage"
"Colombo","Postal Votes","AKMEEMANA DAYARATHANA THERO","IND1",10,0.03
"Colombo","Postal Votes","ABUBAKAR MOHAMED INFAS","DUA",1,0.0
"Colombo","Postal Votes","SIRIPALA AMARASINGHE","IND2",3,0.01
"Colombo","Postal Votes","K.K. PIYADASA","IND4",11,0.03
"Colombo","Postal Votes","SARATH KEERTHIRATHNA","IND5",2,0.01
"Colombo","Postal Votes","K.A. KULARATNA","IND6",2,0.01
"Colombo","Postal Votes","K.R. KRISHAN","APP",1,0.0
"Colombo","Postal Votes","PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA","IND7",0,0.0
"Colombo","Postal Votes","DILITH JAYAWEERA","SLCP",552,1.61
"Colombo","Postal Votes","SIRITUNGA JAYASURIYA","USP",4,0.01
"Colombo","Postal Votes","MYLVAGANAM THILAKARAJAH","IND8",2,0.01
"Colombo","Postal Votes","AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA","DUNF",51,0.15
"Colombo","Postal Votes","LALITH DE SILVA","UNFF",5,0.01
"Colombo","Postal Votes","AJANTHA DE ZOYSA","RJA",5,0.01
"Colombo","Postal Votes","ANURA KUMARA DISSANAYAKE","NPP",20864,61.02
"Colombo","Postal Votes","MAHINDA DEWAGE","SLSP",1,0.0
"Colombo","Postal Votes","ARIYANETHIRAN PAKKIYASELVAM","IND9",63,0.18
"Colombo","Postal Votes","VICTOR PERERA","IND10",0,0.0
"Colombo","Postal Votes","ANURUDDHA POLGAMPALA","IND11",3,0.01
"Colombo","Postal Votes","SAJITH PREMADASA","SJB",4080,11.93
"Colombo","Postal Votes","SARATH FONSEKA","IND12",63,0.18
"Colombo","Postal Votes","DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE","IND13",12,0.04
"Colombo","Postal Votes","SARATH BANDARANAYAKE","NDF",3,0.01
"Colombo","Postal Votes","BATHTHARAMULLE SEELARATHANA THERO","JSP",28,0.08
"Colombo","Postal Votes","NUWAN BOPEGE","SPF",46,0.13
"Colombo","Postal Votes","SARATH MANAMENDRA","NSU",4,0.01
"Colombo","Postal Votes","PEMASIRI MANAGE","IND14",2,0.01
"Colombo","Postal Votes","ANURUDDHA ROSHAN RANASINGHE","IND15",16,0.05
"Colombo","Postal Votes","JANAKA RATNAYAKE","ELPP",3,0.01
"Colombo","Postal Votes","NAMAL RAJAPAKSHA","SBP",32,0.09
"Colombo","Postal Votes","NAMAL RAJAPAKSA","SLPP",561,1.64
"Colombo","Postal Votes","WIJEYADASA RAJAPAKSHE","JPF",73,0.21
"Colombo","Postal Votes","A.S.P. LIYANAGE","SLLP",2,0.01
"Colombo","Postal Votes","KEERTHIE WICKRAMARATNE","AJP",15,0.04
"Colombo","Postal Votes","PRIYANTHA WICKRAMASINGHE","NSSP",17,0.05
"Colombo","Postal Votes","RANIL WICKREMESINGHE","IND16",7645,22.36
"Colombo","Postal Votes","PANI WIJESIRIWARDENA","SEP",5,0.01
"Colombo","Postal Votes","OSHALA HERATH","NIF",3,0.01
"Colombo","ColomboNorth","AKMEEMANA DAYARATHANA THERO","IND1",53,0.08
"Colombo","ColomboNorth","ABUBAKAR MOHAMED INFAS","DUA",48,0.07
"Colombo","ColomboNorth","SIRIPALA AMARASINGHE","IND2",31,0.04
"Colombo","ColomboNorth","K.K. PIYADASA","IND4",183,0.26
"Colombo","ColomboNorth","SARATH KEERTHIRATHNA","IND5",43,0.06
"Colombo","ColomboNorth","K.A. KULARATNA","IND6",9,0.01
"Colombo","ColomboNorth","K.R. KRISHAN","APP",27,0.04
"Colombo","ColomboNorth","PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA","IND7",13,0.02
"Colombo","ColomboNorth","DILITH JAYAWEERA","SLCP",442,0.64
"Colombo","ColomboNorth","SIRITUNGA JAYASURIYA","USP",22,0.03
"Colombo","ColomboNorth","MYLVAGANAM THILAKARAJAH","IND8",16,0.02
"Colombo","ColomboNorth","AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA","DUNF",27,0.04
"Colombo","ColomboNorth","LALITH DE SILVA","UNFF",15,0.02
"Colombo","ColomboNorth","AJANTHA DE ZOYSA","RJA",56,0.08
"Colombo","ColomboNorth","ANURA KUMARA DISSANAYAKE","NPP",17978,25.96
"Colombo","ColomboNorth","MAHINDA DEWAGE","SLSP",16,0.02
"Colombo","ColomboNorth","ARIYANETHIRAN PAKKIYASELVAM","IND9",585,0.84
"Colombo","ColomboNorth","VICTOR PERERA","IND10",48,0.07
"Colombo","ColomboNorth","ANURUDDHA POLGAMPALA","IND11",107,0.15
"Colombo","ColomboNorth","SAJITH PREMADASA","SJB",32289,46.63
"Colombo","ColomboNorth","SARATH FONSEKA","IND12",109,0.16
"Colombo","ColomboNorth","DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE","IND13",96,0.14
"Colombo","ColomboNorth","SARATH BANDARANAYAKE","NDF",13,0.02
"Colombo","ColomboNorth","BATHTHARAMULLE SEELARATHANA THERO","JSP",22,0.03
"Colombo","ColomboNorth","NUWAN BOPEGE","SPF",29,0.04
"Colombo","ColomboNorth","SARATH MANAMENDRA","NSU",5,0.01
"Colombo","ColomboNorth","PEMASIRI MANAGE","IND14",28,0.04
"Colombo","ColomboNorth","ANURUDDHA ROSHAN RANASINGHE","IND15",21,0.03
"Colombo","ColomboNorth","JANAKA RATNAYAKE","ELPP",14,0.02
"Colombo","ColomboNorth","NAMAL RAJAPAKSHA","SBP",37,0.05
"Colombo","ColomboNorth","NAMAL RAJAPAKSA","SLPP",954,1.38
"Colombo","ColomboNorth","WIJEYADASA RAJAPAKSHE","JPF",97,0.14
"Colombo","ColomboNorth","A.S.P. LIYANAGE","SLLP",2,0.0
"Colombo","ColomboNorth","KEERTHIE WICKRAMARATNE","AJP",14,0.02
"Colombo","ColomboNorth","PRIYANTHA WICKRAMASINGHE","NSSP",47,0.07
"Colombo","ColomboNorth","RANIL WICKREMESINGHE","IND16",15692,22.66
"Colombo","ColomboNorth","PANI WIJESIRIWARDENA","SEP",33,0.05
"Colombo","ColomboNorth","OSHALA HERATH","NIF",22,0.03
"Colombo","ColomboCentral","AKMEEMANA DAYARATHANA THERO","IND1",48,0.05
"Colombo","ColomboCentral","ABUBAKAR MOHAMED INFAS","DUA",61,0.07
"Colombo","ColomboCentral","SIRIPALA AMARASINGHE","IND2",31,0.03
"Colombo","ColomboCentral","K.K. PIYADASA","IND4",237,0.27
"Colombo","ColomboCentral","SARATH KEERTHIRATHNA","IND5",56,0.06
